chrissb8	185.9	09:30	6	4052
clascher	177.8	08:30	6	161.8
healeyj	durham	07:30	5	11.9
jbarreto11,167.6,08:00,2,124.24
jdmar3	175.26	06:45	1	1,129.3
jhoertt,175.26,10:00,4,220.48
jkleissler	177.8	08:30	N/A	0
johnrmullan	180.34	06:55	4	45.7
jonpage3	187.96	10:00	NA	218.41
lumizila
171
06:00
4
7.150 km
mikerw
190.5
08:00
2
50
NimBreitenfeld
172.7
05:00
2
118.9rababsi2	162.56 	09:00	3 	14.4 
